NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
749;3.00;1;8;3;3;1.00;2.00;2.00;1.00;99;99;99;99;99;99;-0.13131;-0.19010;2;99;4.00;1;1;29.00;12;8;4
765;3.00;1;2;3;3;1.00;2.00;2.00;2.00;5;5;5;5;1;4;2.15315;0.06800;3;3;1.00;1;6;29.00;21;99;4
776;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;3;1;1;-0.55778;-0.17536;1;99;4.00;1;1;40.00;18;7;4
781;2.00;1;4;3;1;1.00;2.00;2.00;1.00;10;5;1;3;99;1;0.46007;-0.38190;2;3;1.00;1;6;25.00;12;10;2
783;2.00;1;6;2;2;1.00;1.00;1.00;1.00;1;1;1;10;1;1;0.39616;-0.63275;9;99;4.00;2;6;19.00;21;99;2
794;4.00;2;2;4;3;2.00;2.00;2.00;2.00;5;5;5;10;5;5;0.51578;-0.32137;2;3;1.00;1;6;25.00;21;4;3
797;4.00;2;2;3;2;1.00;2.00;2.00;2.00;7;2;2;5;6;2;-0.24150;-0.08502;1;99;4.00;1;1;58.00;12;2;3
800;1.00;1;7;1;1;1.00;1.00;1.00;1.00;1;4;1;1;1;1;-0.61360;-0.86242;2;5;2.00;1;1;66.00;12;10;4
802;1.00;1;10;2;1;1.00;1.00;1.00;1.00;1;1;1;5;8;5;0.91561;-1.08447;2;4;1.00;2;1;22.00;12;10;3
806;4.00;3;1;4;3;2.00;2.00;2.00;2.00;10;10;10;10;10;10;0.67197;-0.95496;2;2;1.00;1;6;24.00;12;8;4
815;2.00;2;4;1;3;1.00;2.00;2.00;2.00;1;1;1;5;1;1;-0.35043;1.32472;1;5;2.00;2;1;23.00;12;99;4
817;4.00;2;4;3;3;1.00;2.00;2.00;2.00;1;1;2;3;3;2;0.18835;-0.50046;2;4;1.00;1;1;32.00;12;7;3
820;4.00;2;2;4;3;2.00;2.00;2.00;2.00;3;3;5;8;5;1;2.42771;1.68726;3;2;1.00;1;6;22.00;21;99;4
838;4.00;2;6;4;3;2.00;2.00;2.00;2.00;6;6;6;6;6;1;1.50542;-0.33845;2;4;1.00;1;1;31.00;20;3;2
846;3.00;1;5;3;2;2.00;2.00;2.00;2.00;1;1;1;1;1;1;-1.09429;-1.00987;2;2;1.00;1;1;36.00;18;7;3
858;1.00;1;10;2;1;1.00;1.00;1.00;1.00;1;1;2;3;1;1;-0.90135;-0.27864;2;7;3.00;2;6;21.00;21;99;2
860;1.00;1;7;2;1;1.00;1.00;2.00;1.00;1;1;2;5;1;1;-0.07471;1.06349;1;4;1.00;2;1;39.00;15;99;4
